school_name,latitude,longitude,vacancies
BUKIT PANJANG PRIMARY SCHOOL,1.373472192,103.7693175,44
HAIG GIRLS' SCHOOL,1.311539114,103.9033936,55
TECK WHYE PRIMARY SCHOOL,1.383558303,103.7536828,73
JURONG PRIMARY SCHOOL,1.348684512,103.7329748,33
QUEENSTOWN PRIMARY SCHOOL,1.29559366,103.8075486,60
RADIN MAS PRIMARY SCHOOL,1.274961612,103.82418,33
RAFFLES GIRLS' PRIMARY SCHOOL,1.330073919,103.8062213,74
ROSYTH SCHOOL,1.372915796,103.8746932,20
DAMAI PRIMARY SCHOOL,1.335351315,103.9212683,56
FUHUA PRIMARY SCHOOL,1.336403763,103.7366695,52
WOODLANDS PRIMARY SCHOOL,1.436746383,103.7917717,39
EUNOS PRIMARY SCHOOL,1.324388363,103.9043748,26
HENRY PARK PRIMARY SCHOOL,1.316725811,103.7842083,32
BENDEMEER PRIMARY SCHOOL,1.322208475,103.8653513,56
CORPORATION PRIMARY SCHOOL,1.35148549,103.7075784,64
YIO CHU KANG PRIMARY SCHOOL,1.377822709,103.8855687,65
BLANGAH RISE PRIMARY SCHOOL,1.276120344,103.8086284,36
ANG MO KIO PRIMARY SCHOOL,1.369092065,103.8390414,45
MAYFLOWER PRIMARY SCHOOL,1.376398737,103.8431658,63
TECK GHEE PRIMARY SCHOOL,1.365200631,103.8510322,47
TEMASEK PRIMARY SCHOOL,1.317706782,103.9455907,20
SI LING PRIMARY SCHOOL,1.432699866,103.7857788,54
JING SHAN PRIMARY SCHOOL,1.371892676,103.8518111,36
YISHUN PRIMARY SCHOOL,1.433496399,103.8340274,55
STAMFORD PRIMARY SCHOOL,1.303859599,103.8569551,62
FERNVALE PRIMARY SCHOOL,1.389979399,103.874101,67
TOWNSVILLE PRIMARY SCHOOL,1.360362634,103.8541855,57
RULANG PRIMARY SCHOOL,1.347189532,103.7187861,22
QIFA PRIMARY SCHOOL,1.312621542,103.75703,69
ZHANGDE PRIMARY SCHOOL,1.28449822,103.826149,62
TAMPINES PRIMARY SCHOOL,1.350486398,103.9435731,46
CHONGZHENG PRIMARY SCHOOL,1.350594769,103.9512252,42
XINGHUA PRIMARY SCHOOL,1.357996547,103.8902164,63
JIEMIN PRIMARY SCHOOL,1.427646852,103.8304804,46
FUCHUN PRIMARY SCHOOL,1.430639768,103.7781752,72
BUKIT VIEW PRIMARY SCHOOL,1.345945246,103.7535888,61
CEDAR PRIMARY SCHOOL,1.335641223,103.8754913,83
OPERA ESTATE PRIMARY SCHOOL,1.319968755,103.9237527,41
RIVER VALLEY PRIMARY SCHOOL,1.294183475,103.8360189,33
TELOK KURAU PRIMARY SCHOOL,1.331045863,103.910934,66
YUMIN PRIMARY SCHOOL,1.351459603,103.9507161,46
SHUQUN PRIMARY SCHOOL,1.347653104,103.7215237,29
GAN ENG SENG PRIMARY SCHOOL,1.285955393,103.8152282,66
GONGSHANG PRIMARY SCHOOL,1.357348982,103.9488719,38
HUAMIN PRIMARY SCHOOL,1.42731881,103.8448634,54
XISHAN PRIMARY SCHOOL,1.433501455,103.8382893,83
PRINCESS ELIZABETH PRIMARY SCHOOL,1.349194518,103.7409996,40
DAZHONG PRIMARY SCHOOL,1.359101577,103.7481587,50
