school_name,latitude,longitude,cutoff
ANDERSON SECONDARY SCHOOL,1.374242189,103.85143,247
BARTLEY SECONDARY SCHOOL,1.34001742,103.882455,188
BEATTY SECONDARY SCHOOL,1.341790511,103.8520649,215
CEDAR GIRLS' SECONDARY SCHOOL,1.334527365,103.873791,250
CRESCENT GIRLS' SCHOOL,1.293305114,103.8176348,242
GAN ENG SENG SCHOOL,1.289071145,103.8237337,226
QUEENSWAY SECONDARY SCHOOL,1.300475167,103.8017236,220
SERANGOON SECONDARY SCHOOL,1.375555333,103.9019104,188
COMMONWEALTH SECONDARY SCHOOL,1.319128078,103.7457555,239
TANJONG KATONG GIRLS' SCHOOL,1.32203912,103.9270308,235
VICTORIA SCHOOL,1.308356824,103.9276115,246
WHITLEY SECONDARY SCHOOL,1.355494624,103.8425639,188
YUHUA SECONDARY SCHOOL,1.347218449,103.7225815,188
YISHUN SECONDARY SCHOOL,1.428132012,103.8288148,207
BENDEMEER SECONDARY SCHOOL,1.324611113,103.8609703,188
FUCHUN SECONDARY SCHOOL,1.430833988,103.777148,188
ANG MO KIO SECONDARY SCHOOL,1.367359004,103.8426004,228
BEDOK SOUTH SECONDARY SCHOOL,1.325653417,103.9506212,210
CLEMENTI TOWN SECONDARY SCHOOL,1.315474974,103.7620787,234
TEMASEK SECONDARY SCHOOL,1.315770985,103.9471475,234
MAYFLOWER SECONDARY SCHOOL,1.368337246,103.8354387,222
TAMPINES SECONDARY SCHOOL,1.349434801,103.9439891,208
BUKIT VIEW SECONDARY SCHOOL,1.345723151,103.7522778,211
WOODLANDS SECONDARY SCHOOL,1.439183317,103.7744988,188
BOWEN SECONDARY SCHOOL,1.370751073,103.877459,226
BUKIT BATOK SECONDARY SCHOOL,1.348351215,103.7408734,228
YISHUN TOWN SECONDARY SCHOOL,1.432604239,103.8380117,239
HOUGANG SECONDARY SCHOOL,1.37815588,103.8818716,202
NAN HUA HIGH SCHOOL,1.308141211,103.7690154,245
HILLGROVE SECONDARY SCHOOL,1.352735494,103.7530524,210
XINMIN SECONDARY SCHOOL,1.3726429,103.8830505,235
GREENRIDGE SECONDARY SCHOOL,1.381924186,103.773617,195
SPRINGFIELD SECONDARY SCHOOL,1.349575632,103.9302183,188
CHUA CHU KANG SECONDARY SCHOOL,1.383274838,103.7520245,216
DAMAI SECONDARY SCHOOL,1.33754548,103.9264171,188
NORTHLAND SECONDARY SCHOOL,1.43573962,103.8401047,188
PEIRCE SECONDARY SCHOOL,1.366131676,103.8299104,211
JURONGVILLE SECONDARY SCHOOL,1.351549559,103.7291127,197
FAJAR SECONDARY SCHOOL,1.375565392,103.7638819,188
